GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos,pos.pojo,BrandPojo,0,24,0,0,0,10,0,7,0,7
pos,pos.pojo,InventoryPojo,0,24,0,0,0,10,0,7,0,7
pos,pos.pojo,OrderItemPojo,10,38,0,0,1,16,1,11,1,11
pos,pos.pojo,OrderPojo,0,28,0,0,0,11,0,7,0,7
pos,pos.pojo,ProductPojo,0,38,0,0,0,16,0,11,0,11
pos,pos.model.form,ProductForm,10,35,0,0,4,15,3,10,3,10
pos,pos.model.form,ReportFilter,31,0,0,0,13,0,9,0,9,0
pos,pos.model.form,OrderItemForm,0,24,0,0,0,10,0,7,0,7
pos,pos.model.form,BrandForm,0,17,0,0,0,7,0,5,0,5
pos,pos.model.form,InventoryForm,0,17,0,0,0,7,0,5,0,5
pos,pos.model.form,ApiError,34,0,0,0,14,0,7,0,7,0
pos,pos.model.data,InventoryData,83,7,16,0,2,3,13,2,5,2
pos,pos.model.data,OrderItemData,122,11,24,0,3,5,18,3,6,3
pos,pos.model.data,OrderInvoiceData,145,24,30,0,0,10,19,7,4,7
pos,pos.model.data,InventoryReportData,9,15,0,0,3,7,3,4,3,4
pos,pos.model.data,InfoData,94,0,14,0,7,0,14,0,7,0
pos,pos.model.data,AboutAppData,17,0,0,0,7,0,5,0,5,0
pos,pos.model.data,BrandData,83,7,16,0,2,3,13,2,5,2
pos,pos.model.data,ProductData,76,7,14,0,1,3,12,2,5,2
pos,pos.model.data,SaleReportData,31,0,0,0,13,0,9,0,9,0
pos,pos.service,InventoryService,80,87,6,6,13,23,6,10,2,8
pos,pos.service,ApiException,0,4,0,0,0,2,0,1,0,1
pos,pos.service,OrderService,236,240,12,12,39,51,14,16,5,13
pos,pos.service,ReportService,467,3,32,0,75,1,27,1,11,1
pos,pos.service,AboutAppService,0,9,0,0,0,3,0,3,0,3
pos,pos.service,BrandService,181,151,15,15,25,37,12,16,3,10
pos,pos.service,ProductService,242,124,23,11,47,27,20,11,7,7
pos,pos.controller,UIController,24,3,0,0,6,1,6,1,6,1
pos,pos.controller,AbstractUiController,20,3,0,0,4,1,1,1,1,1
pos,pos.controller,TSVController,40,3,0,0,9,1,1,1,1,1
pos,pos.controller,OrderController,298,3,20,0,60,1,19,1,9,1
pos,pos.controller,ReportController,67,3,0,0,16,1,4,1,4,1
pos,pos.controller,BrandController,67,3,4,0,19,1,7,1,5,1
pos,pos.controller,InvoiceController,32,3,0,0,8,1,2,1,2,1
pos,pos.controller,ExceptionHandler,17,3,0,0,2,1,2,1,2,1
pos,pos.controller,InventoryController,133,3,6,0,30,1,8,1,5,1
pos,pos.controller,AppController,16,3,0,0,4,1,1,1,1,1
pos,pos.controller,ProductController,174,3,6,0,33,1,8,1,5,1
pos,pos.dao,AbstractDao,7,12,0,0,1,3,1,3,1,3
pos,pos.dao,BrandDao,8,49,0,0,3,13,1,6,1,6
pos,pos.dao,ProductDao,16,36,1,1,5,10,3,4,2,4
pos,pos.dao,OrderItemDao,0,42,0,0,0,11,0,5,0,5
pos,pos.dao,OrderDao,21,29,0,0,6,7,2,4,2,4
pos,pos.dao,InventoryDao,7,53,0,2,2,15,0,7,0,6
pos,pos.util,StringUtil,5,16,2,4,1,2,3,3,1,2
pos,pos.util,DataConversionUtil,59,329,2,8,14,80,3,17,2,13
pos,pos.util,IOUtil,11,0,2,0,7,0,3,0,2,0
pos,pos.util,PdfConversionUtil,69,0,0,0,18,0,3,0,3,0
pos,pos.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
pos,pos.spring,ControllerConfig,4,112,0,0,2,25,1,7,1,7
pos,pos.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
pos,pos.spring,DbConfig,0,102,0,0,0,27,0,4,0,4
pos,pos.model.xml,SaleXmlList,10,0,0,0,4,0,3,0,3,0
pos,pos.model.xml,BrandXmlList,10,0,0,0,4,0,3,0,3,0
pos,pos.model.xml,InventoryXmlList,0,10,0,0,0,4,0,3,0,3
pos,pos.model.xml,OrderData,6,18,0,0,2,8,2,5,2,5
pos,pos.model.xml,OrderInvoiceXmlList,21,10,0,0,9,4,6,3,6,3
